[ 0.00049008  0.0025964   0.00065692]
[ 0.00125128  0.00521366  0.00481742]
[ 0.00609998  0.00751809  0.00538049]
[ 0.00635023  0.00653792  0.00302392]
[ 0.00306563  0.00465058  0.00360785]
[ 0.00306563  0.00462973  0.00460887]
[ 0.00470272  0.00497383  0.00369127]
[ 0.00334717  0.00334717  0.00153281]
[ 0.00168922  0.00241914  0.00172051]
[ 0.00188734  0.00203333  0.00061521]
[ 0.          0.00172051  0.00127213]
[ 0.00098017  0.00138683  0.00049008]
[ 0.00101145  0.00152239  0.00130341]
[ 0.00086547  0.00206461  0.0016788 ]
[ 0.00178307  0.00189777  0.00168922]
Target: 2.94864284319

[ 0.00125128  0.00521366  0.00481742]
[ 0.00609998  0.00751809  0.00538049]
[ 0.00635023  0.00653792  0.00302392]
[ 0.00306563  0.00465058  0.00360785]
[ 0.00306563  0.00462973  0.00460887]
[ 0.00470272  0.00497383  0.00369127]
[ 0.00334717  0.00334717  0.00153281]
[ 0.00168922  0.00241914  0.00172051]
[ 0.00188734  0.00203333  0.00061521]
[ 0.          0.00172051  0.00127213]
[ 0.00098017  0.00138683  0.00049008]
[ 0.00101145  0.00152239  0.00130341]
[ 0.00086547  0.00206461  0.0016788 ]
[ 0.00178307  0.00189777  0.00168922]
[ 0.00131384  0.00389981  0.00326375]
Target: 2.04855842185

[ 0.00609998  0.00751809  0.00538049]
[ 0.00635023  0.00653792  0.00302392]
[ 0.00306563  0.00465058  0.00360785]
[ 0.00306563  0.00462973  0.00460887]
[ 0.00470272  0.00497383  0.00369127]
[ 0.00334717  0.00334717  0.00153281]
[ 0.00168922  0.00241914  0.00172051]
[ 0.00188734  0.00203333  0.00061521]
[ 0.          0.00172051  0.00127213]
[ 0.00098017  0.00138683  0.00049008]
[ 0.00101145  0.00152239  0.00130341]
[ 0.00086547  0.00206461  0.0016788 ]
[ 0.00178307  0.00189777  0.00168922]
[ 0.00131384  0.00389981  0.00326375]
[ 0.00394152  0.00486955  0.0043899 ]
Target: 3.71747211896

[ 0.00635023  0.00653792  0.00302392]
[ 0.00306563  0.00465058  0.00360785]
[ 0.00306563  0.00462973  0.00460887]
[ 0.00470272  0.00497383  0.00369127]
[ 0.00334717  0.00334717  0.00153281]
[ 0.00168922  0.00241914  0.00172051]
[ 0.00188734  0.00203333  0.00061521]
[ 0.          0.00172051  0.00127213]
[ 0.00098017  0.00138683  0.00049008]
[ 0.00101145  0.00152239  0.00130341]
[ 0.00086547  0.00206461  0.0016788 ]
[ 0.00178307  0.00189777  0.00168922]
[ 0.00131384  0.00389981  0.00326375]
[ 0.00394152  0.00486955  0.0043899 ]
[ 0.00435862  0.00674647  0.00647536]
Target: 0.465949820789

[ 0.00306563  0.00465058  0.00360785]
[ 0.00306563  0.00462973  0.00460887]
[ 0.00470272  0.00497383  0.00369127]
[ 0.00334717  0.00334717  0.00153281]
[ 0.00168922  0.00241914  0.00172051]
[ 0.00188734  0.00203333  0.00061521]
[ 0.          0.00172051  0.00127213]
[ 0.00098017  0.00138683  0.00049008]
[ 0.00101145  0.00152239  0.00130341]
[ 0.00086547  0.00206461  0.0016788 ]
[ 0.00178307  0.00189777  0.00168922]
[ 0.00131384  0.00389981  0.00326375]
[ 0.00394152  0.00486955  0.0043899 ]
[ 0.00435862  0.00674647  0.00647536]
[ 0.0059957   0.0079039   0.00674647]
Target: 1.74812700678

[ 0.00306563  0.00462973  0.00460887]
[ 0.00470272  0.00497383  0.00369127]
[ 0.00334717  0.00334717  0.00153281]
[ 0.00168922  0.00241914  0.00172051]
[ 0.00188734  0.00203333  0.00061521]
[ 0.          0.00172051  0.00127213]
[ 0.00098017  0.00138683  0.00049008]
[ 0.00101145  0.00152239  0.00130341]
[ 0.00086547  0.00206461  0.0016788 ]
[ 0.00178307  0.00189777  0.00168922]
[ 0.00131384  0.00389981  0.00326375]
[ 0.00394152  0.00486955  0.0043899 ]
[ 0.00435862  0.00674647  0.00647536]
[ 0.0059957   0.0079039   0.00674647]
[ 0.00692373  0.00872766  0.00776835]
Target: 3.08555399719

[ 0.00470272  0.00497383  0.00369127]
[ 0.00334717  0.00334717  0.00153281]
[ 0.00168922  0.00241914  0.00172051]
[ 0.00188734  0.00203333  0.00061521]
[ 0.          0.00172051  0.00127213]
[ 0.00098017  0.00138683  0.00049008]
[ 0.00101145  0.00152239  0.00130341]
[ 0.00086547  0.00206461  0.0016788 ]
[ 0.00178307  0.00189777  0.00168922]
[ 0.00131384  0.00389981  0.00326375]
[ 0.00394152  0.00486955  0.0043899 ]
[ 0.00435862  0.00674647  0.00647536]
[ 0.0059957   0.0079039   0.00674647]
[ 0.00692373  0.00872766  0.00776835]
[ 0.00800818  0.00960355  0.00960355]
Target: 1.59863945578

[ 0.00334717  0.00334717  0.00153281]
[ 0.00168922  0.00241914  0.00172051]
[ 0.00188734  0.00203333  0.00061521]
[ 0.          0.00172051  0.00127213]
[ 0.00098017  0.00138683  0.00049008]
[ 0.00101145  0.00152239  0.00130341]
[ 0.00086547  0.00206461  0.0016788 ]
[ 0.00178307  0.00189777  0.00168922]
[ 0.00131384  0.00389981  0.00326375]
[ 0.00394152  0.00486955  0.0043899 ]
[ 0.00435862  0.00674647  0.00647536]
[ 0.0059957   0.0079039   0.00674647]
[ 0.00692373  0.00872766  0.00776835]
[ 0.00800818  0.00960355  0.00960355]
[ 0.00932202  0.01175158  0.01058372]
Target: -1.27217944426

[ 0.00168922  0.00241914  0.00172051]
[ 0.00188734  0.00203333  0.00061521]
[ 0.          0.00172051  0.00127213]
[ 0.00098017  0.00138683  0.00049008]
[ 0.00101145  0.00152239  0.00130341]
[ 0.00086547  0.00206461  0.0016788 ]
[ 0.00178307  0.00189777  0.00168922]
[ 0.00131384  0.00389981  0.00326375]
[ 0.00394152  0.00486955  0.0043899 ]
[ 0.00435862  0.00674647  0.00647536]
[ 0.0059957   0.0079039   0.00674647]
[ 0.00692373  0.00872766  0.00776835]
[ 0.00800818  0.00960355  0.00960355]
[ 0.00932202  0.01175158  0.01058372]
[ 0.01102167  0.01113637  0.00979125]
Target: 0.457782299084

[ 0.00188734  0.00203333  0.00061521]
[ 0.          0.00172051  0.00127213]
[ 0.00098017  0.00138683  0.00049008]
[ 0.00101145  0.00152239  0.00130341]
[ 0.00086547  0.00206461  0.0016788 ]
[ 0.00178307  0.00189777  0.00168922]
[ 0.00131384  0.00389981  0.00326375]
[ 0.00394152  0.00486955  0.0043899 ]
[ 0.00435862  0.00674647  0.00647536]
[ 0.0059957   0.0079039   0.00674647]
[ 0.00692373  0.00872766  0.00776835]
[ 0.00800818  0.00960355  0.00960355]
[ 0.00932202  0.01175158  0.01058372]
[ 0.01102167  0.01113637  0.00979125]
[ 0.0095827   0.01074013  0.01007278]
Target: 2.05907172996

[ 0.          0.00172051  0.00127213]
[ 0.00098017  0.00138683  0.00049008]
[ 0.00101145  0.00152239  0.00130341]
[ 0.00086547  0.00206461  0.0016788 ]
[ 0.00178307  0.00189777  0.00168922]
[ 0.00131384  0.00389981  0.00326375]
[ 0.00394152  0.00486955  0.0043899 ]
[ 0.00435862  0.00674647  0.00647536]
[ 0.0059957   0.0079039   0.00674647]
[ 0.00692373  0.00872766  0.00776835]
[ 0.00800818  0.00960355  0.00960355]
[ 0.00932202  0.01175158  0.01058372]
[ 0.01102167  0.01113637  0.00979125]
[ 0.0095827   0.01074013  0.01007278]
[ 0.01031261  0.0122938   0.01134491]
Target: -0.826856292376

[ 0.00098017  0.00138683  0.00049008]
[ 0.00101145  0.00152239  0.00130341]
[ 0.00086547  0.00206461  0.0016788 ]
[ 0.00178307  0.00189777  0.00168922]
[ 0.00131384  0.00389981  0.00326375]
[ 0.00394152  0.00486955  0.0043899 ]
[ 0.00435862  0.00674647  0.00647536]
[ 0.0059957   0.0079039   0.00674647]
[ 0.00692373  0.00872766  0.00776835]
[ 0.00800818  0.00960355  0.00960355]
[ 0.00932202  0.01175158  0.01058372]
[ 0.01102167  0.01113637  0.00979125]
[ 0.0095827   0.01074013  0.01007278]
[ 0.01031261  0.0122938   0.01134491]
[ 0.01142833  0.01305499  0.01082355]
Target: -1.30065032516

[ 0.00101145  0.00152239  0.00130341]
[ 0.00086547  0.00206461  0.0016788 ]
[ 0.00178307  0.00189777  0.00168922]
[ 0.00131384  0.00389981  0.00326375]
[ 0.00394152  0.00486955  0.0043899 ]
[ 0.00435862  0.00674647  0.00647536]
[ 0.0059957   0.0079039   0.00674647]
[ 0.00692373  0.00872766  0.00776835]
[ 0.00800818  0.00960355  0.00960355]
[ 0.00932202  0.01175158  0.01058372]
[ 0.01102167  0.01113637  0.00979125]
[ 0.0095827   0.01074013  0.01007278]
[ 0.01031261  0.0122938   0.01134491]
[ 0.01142833  0.01305499  0.01082355]
[ 0.01068799  0.0113762   0.01001022]
Target: 7.26474066565

[ 0.00086547  0.00206461  0.0016788 ]
[ 0.00178307  0.00189777  0.00168922]
[ 0.00131384  0.00389981  0.00326375]
[ 0.00394152  0.00486955  0.0043899 ]
[ 0.00435862  0.00674647  0.00647536]
[ 0.0059957   0.0079039   0.00674647]
[ 0.00692373  0.00872766  0.00776835]
[ 0.00800818  0.00960355  0.00960355]
[ 0.00932202  0.01175158  0.01058372]
[ 0.01102167  0.01113637  0.00979125]
[ 0.0095827   0.01074013  0.01007278]
[ 0.01031261  0.0122938   0.01134491]
[ 0.01142833  0.01305499  0.01082355]
[ 0.01068799  0.0113762   0.01001022]
[ 0.01152218  0.0147755   0.01449396]
Target: 3.33910852103

[ 0.00178307  0.00189777  0.00168922]
[ 0.00131384  0.00389981  0.00326375]
[ 0.00394152  0.00486955  0.0043899 ]
[ 0.00435862  0.00674647  0.00647536]
[ 0.0059957   0.0079039   0.00674647]
[ 0.00692373  0.00872766  0.00776835]
[ 0.00800818  0.00960355  0.00960355]
[ 0.00932202  0.01175158  0.01058372]
[ 0.01102167  0.01113637  0.00979125]
[ 0.0095827   0.01074013  0.01007278]
[ 0.01031261  0.0122938   0.01134491]
[ 0.01142833  0.01305499  0.01082355]
[ 0.01068799  0.0113762   0.01001022]
[ 0.01152218  0.0147755   0.01449396]
[ 0.01432713  0.01875873  0.01670455]
Target: -1.14311842707

[ 0.00131384  0.00389981  0.00326375]
[ 0.00394152  0.00486955  0.0043899 ]
[ 0.00435862  0.00674647  0.00647536]
[ 0.0059957   0.0079039   0.00674647]
[ 0.00692373  0.00872766  0.00776835]
[ 0.00800818  0.00960355  0.00960355]
[ 0.00932202  0.01175158  0.01058372]
[ 0.01102167  0.01113637  0.00979125]
[ 0.0095827   0.01074013  0.01007278]
[ 0.01031261  0.0122938   0.01134491]
[ 0.01142833  0.01305499  0.01082355]
[ 0.01068799  0.0113762   0.01001022]
[ 0.01152218  0.0147755   0.01449396]
[ 0.01432713  0.01875873  0.01670455]
[ 0.01607891  0.01734062  0.0159225 ]
Target: 2.31267345051

[ 0.00394152  0.00486955  0.0043899 ]
[ 0.00435862  0.00674647  0.00647536]
[ 0.0059957   0.0079039   0.00674647]
[ 0.00692373  0.00872766  0.00776835]
[ 0.00800818  0.00960355  0.00960355]
[ 0.00932202  0.01175158  0.01058372]
[ 0.01102167  0.01113637  0.00979125]
[ 0.0095827   0.01074013  0.01007278]
[ 0.01031261  0.0122938   0.01134491]
[ 0.01142833  0.01305499  0.01082355]
[ 0.01068799  0.0113762   0.01001022]
[ 0.01152218  0.0147755   0.01449396]
[ 0.01432713  0.01875873  0.01670455]
[ 0.01607891  0.01734062  0.0159225 ]
[ 0.01655857  0.01835207  0.0174866 ]
Target: 1.86859553948

[ 0.00435862  0.00674647  0.00647536]
[ 0.0059957   0.0079039   0.00674647]
[ 0.00692373  0.00872766  0.00776835]
[ 0.00800818  0.00960355  0.00960355]
[ 0.00932202  0.01175158  0.01058372]
[ 0.01102167  0.01113637  0.00979125]
[ 0.0095827   0.01074013  0.01007278]
[ 0.01031261  0.0122938   0.01134491]
[ 0.01142833  0.01305499  0.01082355]
[ 0.01068799  0.0113762   0.01001022]
[ 0.01152218  0.0147755   0.01449396]
[ 0.01432713  0.01875873  0.01670455]
[ 0.01607891  0.01734062  0.0159225 ]
[ 0.01655857  0.01835207  0.0174866 ]
[ 0.01917583  0.01971805  0.01877959]
Target: 2.44082840237

